id,id_category,category,text
1,0,Infraestructura y Recursos,"Artículo 1.- Autorizar la remodelación integral de los baños ubicados en el primer piso del Edificio de Aulas Comunes, de acuerdo al proyecto técnico presentado por el Departamento de Infraestructura."
2,0,Infraestructura y Recursos,"Artículo 1.- Aprobar la compra de cincuenta (50) licencias del software de simulación ANSYS para el laboratorio de ingeniería mecánica, con fondos del proyecto de modernización de laboratorios."
3,0,Infraestructura y Recursos,"Artículo 1.- Asignar de manera permanente el Aula Magna 2 para el desarrollo de las actividades académicas de la Maestría en Derecho Constitucional, los días martes y jueves de 14:00 a 18:00 horas. Artículo 2.- Encargar a la Jefatura de Recursos Físicos la actualización del cuadro de asignación de espacios y la notificación a todas las unidades académicas."
4,0,Infraestructura y Recursos,"Artículo 1.- Dar de baja definitiva del inventario institucional a quince (15) computadoras de escritorio de la marca Dell, modelo OptiPlex 780, por encontrarse tecnológicamente obsoletas y fuera de su vida útil."
5,0,Infraestructura y Recursos,"Artículo 1.- Adjudicar el contrato para la impermeabilización de las cubiertas de los edificios 4, 5 y 6 a la empresa ""Techados Eficaces S.A."", por un monto total de $45,680.00, conforme al proceso de licitación pública LPI-2024-018."
6,0,Infraestructura y Recursos,"Artículo 1.- Aceptar formalmente la donación de un espectrómetro de masas modelo Q-TOF, realizada por la Fundación para el Avance de la Ciencia, para ser utilizado en el Centro de Investigación en Química Aplicada."
7,0,Infraestructura y Recursos,"Artículo 1.- Autorizar el reemplazo completo del sistema de aire acondicionado central de la Biblioteca Central ""Miguel de Cervantes"", por presentar fallas recurrentes y alto consumo energético."
8,0,Infraestructura y Recursos,"Artículo 1.- Aprobar la adquisición de trescientos (300) juegos de mobiliario ergonómico (silla y mesa) para las aulas del nuevo campus norte, con cargo al presupuesto de equipamiento 2024."
9,0,Infraestructura y Recursos,"Artículo 1.- Designar el Laboratorio de Realidad Virtual (LAB-VR) para uso prioritario de la Facultad de Arquitectura y Diseño durante el segundo semestre del año en curso, para el desarrollo de sus talleres de diseño avanzado."
10,0,Infraestructura y Recursos,"Artículo 1.- Aprobar la baja y posterior disposición final de doscientos (200) volúmenes bibliográficos de la colección de referencia, debido a su deterioro físico irreversible y a la obsolescencia de su contenido."
11,0,Infraestructura y Recursos,"Artículo 1.- Adjudicar el servicio de mantenimiento preventivo y correctivo de los ascensores del Edificio de Rectoría a la empresa ""Elevadores Seguros Cía. Ltda."", por un período de doce meses."
12,0,Infraestructura y Recursos,"Artículo 1.- Aceptar la donación de veinte (20) microscopios ópticos binoculares de la empresa ""Biotecnología Andina S.A."", para equipar los laboratorios de la Escuela de Biología."
13,0,Infraestructura y Recursos,"Artículo 1.- Autorizar la ejecución del proyecto ""Instalación de Paneles Solares en la Cubierta del Estacionamiento Principal"", con el objetivo de generar energía renovable para el campus."
14,0,Infraestructura y Recursos,"Artículo 1.- Aprobar la compra de un sistema de videoconferencia de alta gama para la Sala de Junta de Consejo Universitario, con fondos del programa de modernización tecnológica."
15,0,Infraestructura y Recursos,"Artículo 1.- Asignar el uso exclusivo del Taller de Mecánica de Precisión a los estudiantes de la carrera de Ingeniería Mecatrónica que cursen asignaturas de manufactura, en los horarios establecidos por la coordinación. Artículo 2.- Solicitar al Departamento de Mantenimiento realizar una verificación de seguridad del equipo del taller antes del inicio de su uso."
16,0,Infraestructura y Recursos,"Artículo 1.- Dar de baja y autorizar la venta en subasta pública de un vehículo institucional, marca Toyota, placa PBX-0458, por presentar altos costos de mantenimiento."
17,0,Infraestructura y Recursos,"Artículo 1.- Adjudicar el contrato para la construcción de una nueva ciclovía perimetral dentro del campus universitario a la compañía ""Vialidad Sostenible S.A."", ganadora del proceso de licitación LPI-2024-022."
18,0,Infraestructura y Recursos,"Artículo 1.- Aceptar la donación de mobiliario de oficina (12 escritorios y 24 sillas ejecutivas) por parte del exalumno Sr. Roberto Salazar, para equipar las nuevas oficinas de egresados."
19,0,Infraestructura y Recursos,"Artículo 1.- Autorizar el mantenimiento mayor y la pintura total de las fachadas del Edificio de la Facultad de Ciencias Sociales, priorizando la reparación de grietas estructurales."
20,0,Infraestructura y Recursos,"Artículo 1.- Aprobar la adquisición de diez (10) impresoras 3D de tipo industrial para el FabLab de la universidad, con cargo a la partida presupuestaria para innovación tecnológica."
21,0,Infraestructura y Recursos,"Artículo 1.- Oficializar la asignación del Auditorio ""Dr. Carlos Pérez"" para la ceremonia de graduación de la Promoción ""XXV Aniversario"" de la Facultad de Medicina, los días 5 y 6 de diciembre de 2024. Artículo 2.- Encargar a la Unidad de Eventos Académicos la coordinación logística con la Facultad de Medicina para el uso adecuado del espacio."
22,0,Infraestructura y Recursos,"Artículo 1.- Aprobar la baja técnica de cincuenta (50) tablets del modelo Samsung Galaxy Tab A, por haber cumplido su ciclo de vida útil y presentar fallas irreparables en sus baterías."
23,0,Infraestructura y Recursos,"Artículo 1.- Adjudicar el contrato de limpieza y desinfección de los tanques de agua potable de toda la institución a la empresa ""Hidrosanitaciones del Norte"", por un período de tres años."
24,0,Infraestructura y Recursos,"Artículo 1.- Autorizar la renovación completa del cableado de red de datos en el Ala Oeste del Edificio de Ingenierías, para implementar estándares de fibra óptica."
25,0,Infraestructura y Recursos,Artículo 1.- Aprobar la compra de un generador eléctrico de respaldo de 500 KVA para garantizar la continuidad operativa del Data Center central.
26,0,Infraestructura y Recursos,"Artículo 1.- Asignar el Comedor Principal para la realización de la Feria de Alimentación Saludable organizada por la Clínica de Nutrición, durante la semana del 12 al 16 de agosto. Artículo 2.- Disponer que la organización se haga cargo de la limpieza y restauración del espacio una vez finalizado el evento."
27,0,Infraestructura y Recursos,"Artículo 1.- Dar de baja y proceder al reciclaje de dos (2) servidores HP ProLiant DL380 G7, por ser obsoletos y no ser compatibles con la nueva infraestructura tecnológica."
